
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-11 20:08:03 /api/team ................................................................................ ~ 1s
  2026-03-11 20:08:03 /api/online-users .................................................................. ~ 516.32ms
  2026-03-11 20:08:05 /api/reseller-logs ................................................................. ~ 504.84ms
  2026-03-11 20:08:06 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:08:07 /api/online-widget/settings ........................................................ ~ 504.03ms
  2026-03-11 20:08:07 /api/super-admin/users ................................................................... ~ 1s
  2026-03-11 20:08:07 /api/super-admin/tenants ................................................................. ~ 1s
  2026-03-11 20:08:07 /api/super-admin/online-users ............................................................ ~ 2s
  2026-03-11 20:08:10 /api/super-admin/users ............................................................. ~ 503.88ms
  2026-03-11 20:08:12 /api/online-widget/settings ........................................................ ~ 503.90ms
  2026-03-11 20:08:12 /api/super-admin/tenants ................................................................. ~ 1s
  2026-03-11 20:08:12 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:08:14 /api/super-admin/tenants ........................................................... ~ 502.06ms
  2026-03-11 20:08:15 /api/online-widget/settings ........................................................ ~ 501.53ms
  2026-03-11 20:08:15 /api/super-admin/bios-conflicts .......................................................... ~ 1s
  2026-03-11 20:08:15 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:08:17 /api/super-admin/bios-conflicts .................................................... ~ 502.33ms
  2026-03-11 20:08:31 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:08:32 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:08:32 /api/reseller-logs ....................................................................... ~ 1s
  2026-03-11 20:08:32 /api/team ................................................................................ ~ 2s
  2026-03-11 20:08:32 /api/online-users ........................................................................ ~ 2s
  2026-03-11 20:08:35 /api/reseller-logs ................................................................. ~ 508.11ms
  2026-03-11 20:09:05 /api/online-users .................................................................. ~ 503.88ms
  2026-03-11 20:09:35 /api/online-users .................................................................... ~ 0.11ms
  2026-03-11 20:10:06 /api/online-users .................................................................. ~ 503.17ms
  2026-03-11 20:10:37 /api/online-users .................................................................. ~ 504.09ms
  2026-03-11 20:11:07 /api/online-users .................................................................. ~ 504.30ms
